season_id,player_id,player_season,player,season,season_start,age,team,league,pos,g,gs,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ftm,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perv,usg_perc,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,all-nba
2208,396,3,Adrian Caldwell,1994-95,1994,28,HOU,NBA,PF,7,0,4.3,0.1,0.6,0.25,0,0,0,0.1,0.6,0.25,0.25,0.4,0.9,0.5,0.1,1.3,1.4,0,0.1,0,0.1,0.9,0.7,4.4,0.377,0,1.5,4,32.8,19.1,0,1.7,0,13.1,11.4,0,0.1,0,0.02,-10.7,-3.6,-14.3,4.7,0
2209,396,4,Adrian Caldwell,1995-96,1995,29,IND,NBA,PF,51,1,6.4,0.9,1.6,0.554,0,0,0,0.9,1.6,0.554,0.554,0.4,0.7,0.5,0.8,1.3,2.2,0.1,0.2,0.1,0.7,1.4,2.2,10.4,0.556,0,0.434,16.6,25.2,21,3,1.5,1.2,26.2,18.8,-0.2,0.5,0.3,0.044,-4,-1.1,-5,4.8,0
2210,396,5,Adrian Caldwell,1996-97,1996,30,TOT,NBA,PF,45,0,12.6,0.9,2,0.435,0,0,0,0.9,2,0.444,0.435,0.5,1.1,0.42,1.3,2.4,3.7,0.3,0.4,0.2,0.6,1.9,2.2,7.5,0.443,0.022,0.543,10.7,21.6,16,3.1,1.4,1,19.7,10.6,-0.2,0.4,0.2,0.016,-5.2,-0.9,-6.1,3.8,0
2211,396,6,Adrian Caldwell,1997-98,1997,31,DAL,NBA,PF,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022,-7.3,-0.6,-7.9,3.4,0
2212,397,1,Kentavious Caldwell-Pope,2013-14,2013,20,DET,NBA,SG,80,41,19.8,2.3,5.8,0.396,0.7,2.3,0.319,1.5,3.4,0.447,0.46,0.6,0.8,0.77,0.5,1.5,2,0.7,0.9,0.2,0.4,1.8,5.9,9.4,0.483,0.402,0.133,2.5,8.6,5.4,5,2.4,0.6,5.4,13.9,1,0.8,1.8,0.055,-1.2,-0.8,-2.1,2.2,0
2213,397,2,Kentavious Caldwell-Pope,2014-15,2014,21,DET,NBA,SG,82,82,31.5,4.8,11.9,0.401,1.9,5.4,0.345,2.9,6.4,0.449,0.48,1.3,1.9,0.696,0.6,2.5,3.1,1.3,1.1,0.2,1.1,2,12.7,11.2,0.501,0.457,0.163,1.9,9.1,5.4,6.8,1.9,0.5,8.3,19.5,1.1,1.8,2.8,0.052,-0.2,-0.9,-1,1.2,0
2214,397,3,Kentavious Caldwell-Pope,2015-16,2015,22,DET,NBA,SG,76,76,36.7,5.3,12.6,0.42,1.5,4.9,0.309,3.8,7.8,0.489,0.479,2.4,3,0.811,0.9,2.8,3.7,1.8,1.4,0.2,1.4,2.2,14.5,12.4,0.521,0.384,0.238,2.6,8.6,5.5,7.8,2,0.5,9,18.2,2.6,2.7,5.3,0.092,0.6,0.6,1.1,1,0
2215,397,4,Kentavious Caldwell-Pope,2016-17,2016,23,DET,NBA,SG,73,72,33.5,4.9,12.3,0.402,2,5.7,0.356,2.9,6.5,0.444,0.486,2,2.5,0.832,0.7,2.5,3.2,2.6,1.2,0.2,1.1,1.5,14,13.1,0.523,0.467,0.2,2.3,8.5,5.3,11.4,1.8,0.4,7.8,19.2,2.1,2.5,4.6,0.09,1,0,1,2.6,0
2216,397,5,Kentavious Caldwell-Pope,2017-18,2017,24,LAL,NBA,SG,74,74,33.2,4.6,10.8,0.426,2.1,5.6,0.383,2.4,5.2,0.473,0.526,2.1,2.6,0.789,0.8,4.4,5.2,2.2,1.4,0.2,1.3,2,13.4,13.2,0.561,0.52,0.243,2.6,14.1,8.4,9.4,2.1,0.5,9.9,16.9,2.6,2.7,5.3,0.103,0.6,0.4,1,1.6,0
2217,397,6,Kentavious Caldwell-Pope,2018-19,2018,25,LAL,NBA,SG,82,23,24.8,4,9.2,0.43,1.8,5.3,0.347,2.1,3.9,0.542,0.53,1.7,1.9,0.867,0.6,2.3,2.9,1.3,0.9,0.2,0.8,1.7,11.4,12.9,0.568,0.575,0.209,2.5,9.4,6,7.5,1.7,0.5,7.3,18.1,2.3,1.8,4,0.095,0.6,-1.2,-0.6,0.2,0
2218,398,1,Demetrius Calip,1991-92,1991,22,LAL,NBA,PG,7,0,8.3,0.6,2.6,0.222,0.1,0.7,0.2,0.4,1.9,0.231,0.25,0.3,0.4,0.667,0.1,0.6,0.7,1.7,0.1,0,0.7,1.1,1.6,1.8,0.285,0.278,0.167,1.9,8,4.9,28.2,0.9,0,20.6,18.3,-0.2,0,-0.2,-0.134,-7.6,-3.7,-11.3,0.2,0
2219,399,1,Rick Calloway,1990-91,1990,24,SAC,NBA,SG,64,0,10.6,1.2,3,0.391,0,0,0,1.2,3,0.395,0.391,0.9,1.2,0.696,0.4,0.8,1.2,1,0.3,0.1,0.8,1.5,3.2,6.6,0.452,0.01,0.411,4.1,9.1,6.5,13.4,1.6,0.7,18.4,17.9,-0.8,0.4,-0.3,-0.025,-5.6,-1.2,-6.8,1.3,0
